"Sample Date","Location History ID","Bloom Status"
"2024-09-03","0704CAN0286_3628","confirmed"
"2024-09-13","0704CAN0286_3628","confirmed"
"2022-09-09","0704CAN0286_3630","confirmed"
"2020-07-31","0704CAN0286_3631","confirmed"
"2020-09-06","0704CAN0286_3631","confirmed"
"2020-09-08","0704CAN0286_3631","confirmed"
"2021-08-20","0704CAN0286_3632","confirmed"
"2021-10-07","0704CAN0286_3632","confirmed"
"2023-09-06","0704CAN0286_3632","confirmed"
"2024-07-23","0704CAN0286_3632","confirmed"
"2024-08-24","0704CAN0286_3632","confirmed"
"2024-08-26","0704CAN0286_3632","confirmed"
"2024-09-11","0704CAN0286_3632","confirmed"
"2024-09-18","0704CAN0286_3632","confirmed"
"2020-08-08","0704CAN0286_3633","confirmed"
"2020-08-23","0704CAN0286_3633","confirmed"
"2020-09-25","0704CAN0286_3633","confirmed"
"2021-06-29","0704CAN0286_3633","confirmed"
"2023-10-04","0704CAN0286_3605","confirmed"
"2023-10-26","0704CAN0286_3605","confirmed"
"2023-10-03","0704CAN0286_3602","confirmed"
"2024-07-22","0704CAN0286_3605","confirmed"
"2024-07-23","0704CAN0286_3605","confirmed"
"2024-07-29","0704CAN0286_3605","confirmed"
"2024-08-02","0704CAN0286_3605","confirmed"
"2024-08-26","0704CAN0286_3606","confirmed"
"2024-09-05","0704CAN0286_3606","confirmed"
"2024-09-10","0704CAN0286_3606","confirmed"
"2024-09-11","0704CAN0286_3606","confirmed"
"2024-09-19","0704CAN0286_3606","confirmed"
"2018-09-04","0704CAN0286_3618","confirmed_with_high_toxins"
"2024-09-03","0704CAN0286_3605","confirmed"
"2024-09-13","0704CAN0286_3605","confirmed"
"2024-09-17","0704CAN0286_3605","confirmed"
"2024-09-19","0704CAN0286_3605","confirmed"
"2024-10-22","0704CAN0286_3605","confirmed"
"2024-10-28","0704CAN0286_3605","confirmed"
"2025-08-12","0704CAN0286_3605","confirmed"
"2025-09-10","0704CAN0286_3605","confirmed"
"2025-09-14","0704CAN0286_3605","confirmed"
"2025-09-27","0704CAN0286_3605","confirmed"
"2025-09-29","0704CAN0286_3605","confirmed"
"2025-10-04","0704CAN0286_3605","confirmed"
"2018-09-09","0704CAN0286_3606","confirmed_with_high_toxins"
"2019-08-13","0704CAN0286_3606","confirmed"
"2019-08-20","0704CAN0286_3606","confirmed_with_high_toxins"
"2019-09-03","0704CAN0286_3606","confirmed_with_high_toxins"
"2021-10-05","0704CAN0286_3618","confirmed"
"2020-08-03","0704CAN0286_3606","confirmed"
"2020-08-10","0704CAN0286_3606","confirmed"
"2020-08-23","0704CAN0286_3606","confirmed"
"2020-09-06","0704CAN0286_3606","confirmed"
"2020-09-08","0704CAN0286_3606","confirmed"
"2020-09-21","0704CAN0286_3606","confirmed"
"2020-09-25","0704CAN0286_3606","confirmed"
"2024-09-13","0704CAN0286_3618","confirmed"
"2025-09-23","0704CAN0286_3618","confirmed"
"2020-10-09","0704CAN0286_3606","confirmed"
"2021-08-21","0704CAN0286_3606","confirmed"
"2021-08-25","0704CAN0286_3606","confirmed"
"2024-09-11","0704CAN0286_3620","confirmed"
"2024-09-20","0704CAN0286_3620","confirmed"
"2025-09-26","0704CAN0286_3620","confirmed"
"2020-08-10","0704CAN0286_3621","confirmed"
"2018-08-16","0704CAN0286_3605","confirmed"
"2018-09-04","0704CAN0286_3605","confirmed_with_high_toxins"
"2024-09-19","0704CAN0286_3621","confirmed"
"2020-08-09","0704CAN0286_3622","confirmed"
"2020-09-08","0704CAN0286_3622","confirmed"
"2020-09-12","0704CAN0286_3622","confirmed"
"2022-09-30","0704CAN0286_3606","confirmed"
"2022-10-06","0704CAN0286_3606","confirmed"
"2023-09-01","0704CAN0286_3606","confirmed"
"2020-09-08","0704CAN0286_3614","confirmed"
"2020-09-25","0704CAN0286_3614","confirmed"
"2025-09-23","0704CAN0286_3614","confirmed"
"2018-09-04","0704CAN0286_3615","confirmed_with_high_toxins"
"2018-09-18","0704CAN0286_3615","confirmed_with_high_toxins"
"2019-08-19","0704CAN0286_3615","confirmed_with_high_toxins"
"2018-08-27","0704CAN0286_3601","confirmed_with_high_toxins"
"2018-09-12","0704CAN0286_3601","confirmed_with_high_toxins"
"2019-08-20","0704CAN0286_3601","confirmed_with_high_toxins"
"2018-09-06","0704CAN0286_3616","confirmed_with_high_toxins"
"2019-09-16","0704CAN0286_3616","confirmed_with_high_toxins"
"2020-08-08","0704CAN0286_3616","confirmed"
"2020-08-15","0704CAN0286_3616","confirmed"
"2021-07-01","0704CAN0286_3616","confirmed"
"2021-09-19","0704CAN0286_3616","confirmed"
"2021-10-04","0704CAN0286_3616","confirmed"
"2019-08-20","0704CAN0286_3602","confirmed_with_high_toxins"
"2019-09-21","0704CAN0286_3602","confirmed_with_high_toxins"
"2020-09-06","0704CAN0286_3602","confirmed"
"2020-09-08","0704CAN0286_3602","confirmed"
"2021-08-20","0704CAN0286_3602","confirmed"
"2020-09-06","0704CAN0286_3633","confirmed"
"2021-10-04","0704CAN0286_3602","confirmed"
"2021-10-06","0704CAN0286_3602","confirmed"
"2022-09-18","0704CAN0286_3602","confirmed"
"2023-09-06","0704CAN0286_3602","confirmed"
"2024-06-20","0704CAN0286_3617","confirmed"
"2024-09-11","0704CAN0286_3617","confirmed"
"2024-09-13","0704CAN0286_3617","confirmed"
"2024-09-14","0704CAN0286_3617","confirmed"
"2024-09-19","0704CAN0286_3617","confirmed"
"2025-10-14","0704CAN0286_3617","confirmed"
"2018-09-04","0704CAN0286_3603","confirmed_with_high_toxins"
"2024-09-10","0704CAN0286_3605","confirmed"
"2019-08-20","0704CAN0286_3603","confirmed_with_high_toxins"
"2019-09-03","0704CAN0286_3603","confirmed_with_high_toxins"
"2020-09-08","0704CAN0286_3603","confirmed"
"2021-10-06","0704CAN0286_3606","confirmed"
"2023-09-06","0704CAN0286_3621","confirmed"
"2023-10-02","0704CAN0286_3621","confirmed"
"2024-07-29","0704CAN0286_3621","confirmed"
"2024-09-04","0704CAN0286_3621","confirmed"
"2021-10-14","0704CAN0286_3606","confirmed"
"2022-09-09","0704CAN0286_3606","confirmed"
"2022-09-17","0704CAN0286_3606","confirmed"
"2022-09-24","0704CAN0286_3606","confirmed"
"2021-08-26","0704CAN0286_3605","confirmed"
"2021-09-19","0704CAN0286_3605","confirmed"
"2021-09-25","0704CAN0286_3605","confirmed"
"2021-10-06","0704CAN0286_3605","confirmed"
"2021-10-07","0704CAN0286_3605","confirmed"
"2021-10-08","0704CAN0286_3605","confirmed"
"2021-10-14","0704CAN0286_3605","confirmed"
"2022-08-19","0704CAN0286_3605","confirmed"
"2024-09-14","0704CAN0286_3630","confirmed"
"2022-09-07","0704CAN0286_3605","confirmed"
"2024-08-15","0704CAN0286_3605","confirmed"
